country;region;subregion;surfareasqkm;poptotal;popdens;popgrowthpct;gdp;gdpgrowthpct;adolfertrate;agrivaladdpctgdp;exportspctgdp;fertrate;fdinetbop;gni_per_capatlas;gniatlas;importspctgdp;indvaladdpctgdp;inflconspricpct;lifeexpbirth;merchtradepctgdp;mobilesubs_per_100;mortrateu5;netmigr;urbanpopgrowthpct;
Yemen; Rep.;Asia;Western Asia;527970.0;32981641.0;624.687.785.290.831;2.137.789.700.681;664.061.565.611.156;4.792.026.899.458.170;54.404;212.003.486.539.826;2.834.003.154.685.360;3.795;12.029.334.910.942.600;2.220.899.774.515.820;7.367.928.545.340.810;4.201.309.277.949.240;2.413.241.889.875.650;12.298.100.234.019.600;63.753;286.973.024.033.876;460.195.416;61.9;-101468.0;380.680.448.268.827
Viet Nam;Asia;South-eastern Asia;331340.0;97468029.0;310.973.231.577.167;0.84418167703331;366.137.590.717.804;256.155.114.232.494;34.6;125.603.635.142.748;932.916.516.650.949;1.944;15660000000.0;3590.0;350.209.125.187.883;931.765.315.784.216;374.762.358.002.973;277.827.294.467.802;73.618;182.563.336.009.709;1.388.654.955;20.6;-992.0;273.303.127.667.175;
West Bank and Gaza;Asia;Western Asia;6025.0;4922749.0;81.705.377.593.361;245.703.865.277.568;18109000000.0;701.198.227.592.003;43.469;631.674.857.805.511;173.411.011.099.453;3.504;353.477.054.949.858;4270.0;21.000.435.319.646;557.424.485.062.676;176.851.289.414.104;895.397.174.062.261;73.473;29.764.055.939.255.300;7.760.221.248;14.8;-12369.0;28.265.248.603.175;
Uruguay;Americas;Latin America and the Caribbean;176220.0;3426260.0;195.763.912.695.692;-0.0824466091158564;614.122.682.489.461;527.655.886.746.021;36.226;812.892.994.528.831;304.820.644.403.579;1.493;364.882.121.130.009;16150.0;553.403.419.917.843;239.342.966.376.271;183.680.864.687.549;126.808.825.148.184;75.436;323.404.436.382.153;1.369.212.202;5.8;-1486.0;0.0096475323000025;
Zambia;Africa;Sub-Saharan Africa;752610.0;19473125.0;261.950.322.172.749;284.080.597.789.489;221.476.495.686.121;459.873.403.412.685;117.017;339.327.658.920.437;520.783.870.178.834;4.308;-271.436.092.952.932;1030.0;201.491.220.460.228;339.137.895.433.267;425.020.770.896.369;275.858.339.091.683;61.223;746.625.503.025.611;1.039.746.368;57.7;9015.0;40.944.299.035.781;
Vanuatu;Oceania;Melanesia;12190.0;319137.0;261.802.296.964.725;23.627.415.254.938;971.636.097.850.666;0.648653484834938;64.063;0.512164257147177;916.143.227.893.331;3.735;41.322.241.495.284;3420.0;109.015.113.888.577;513.079.700.605.559;15.730.850.393.488.000;0.699154438430227;70.449;404.472.416.030.391;782.951.469;23.2;-197.0;290.981.418.827.664;
Venezuela; RB;Americas;Latin America and the Caribbean;912050.0;28199867.0;319.708.259.168.981;-102.517.870.784.193;2.685.563.172.833.190;-19.738.830.422.211.100;82.715;27.835.325.090.097.900;9.805.719.493.073.420;2.211;-996000000.0;1.660.100.423.915.160;36.658.866.802.686.300;3.235.060.816.636.090;2.359.208.413.552.060;3.631.857.888.459.840;70.554;30.112.087.119.877.700;6.031.557.029;24.2;-525116.0;-0.973082844957155
Uzbekistan;Asia;Central Asia;448924.0;34915100.0;79.234.908.193.068;197.570.606.573.325;696.006.149.886.039;740.336.813.612.439;15.859;246.182.884.605.959;236.767.229.825.956;3.173;227.480.821.923.395;1980.0;69.146.154.579.869;401.715.680.072.354;314.907.511.579.754;135.439.011.264.716;70.862;545.656.098.099.397;1.028.976.203;14.1;-39201.0;199.752.134.749.295;
Lao PDR;Asia;South-eastern Asia;236800.0;7425057.0;321.709.575.389.948;143.321.406.495.938;188.271.485.300.151;252.835.100.102.986;73.175;160.676.970.155.249;4.641.460.791.650.840;2.496;107.191.371.560.885;2510.0;186.508.670.474.219;655.124.746.506.713;341.299.777.246.213;371.344.837.075.097;68.061;742.013.586.270.293;6.495.535.792;42.5;-10303.0;320.578.551.769.306;
United Kingdom;Europe;Northern Europe;243610.0;67026300.0;277.048.319.761.915;-0.0819253049161613;3122480345924.54;759.747.097.228.198;10.541;0.674772689831851;288.199.604.800.537;1.56;592.225.275.915.616;44790.0;3001902376225.51;300.550.248.739.564;173.016.052.004.937;0.0165739998990233;80.7;373.146.624.131.916;1.185.668.355;4.2;202027.0;0.214406091552174;
Gambia; The;Africa;Sub-Saharan Africa;11300.0;2639916.0;260.861.264.822.134;252.879.318.000.917;203.841.497.357.173;426.549.209.260.175;63.188;224.187.366.294.725;647.185.905.236.703;4.684;251.822.628.807.366;740.0;195.148.757.067.023;356.209.521.429.088;170.880.534.386.365;784.689.652.017.039;62.083;313.969.436.202.966;1.014.408.792;47.9;-1960.0;354.624.816.576.109
Gabon;Africa;Sub-Saharan Africa;267670.0;2341179.0;908.595.878.449.179;209.798.810.279.019;202.179.469.212.063;146.795.731.508.091;91.176;601.648.933.699.842;555.421.784.992.529;3.491;15.292.210.841.177;6440.0;150.763.440.363.931;165.856.042.712.374;509.187.627.178.675;253.483.072.915.005;65.821;554.210.575.567.752;1.343.173.247;39.7;1516.0;246.469.704.373.021;
French Polynesia;Oceania;Polynesia;3471.0;304032.0;875.920.484.010.372;0.697087740409896;608.035.930.528.965;239.998.809.215.925;33.055;0.5118413643460178;6.174.747.072.076.680;1.699;-256.244.477.176;5.692.319.210.855.900;604.587.213.402.371;8.976.814.883.864.350;15.731.749.360.701.400;-0.195308704066136;79.486;34.537.432.650.947;1.062.118.461;3.830.000.578.440.430;-378.0;0.84403506794743;
France;Europe;Western Europe;549086.87;67749632.0;123.730.738.534.984;0.263854757064606;2957879759263.52;681.658.913.649.873;9.529;164.018.921.415.347;294.487.518.343.616;1.83;958.648.398.558.147;44160.0;2991553487891.5;313.909.159.612.455;166.557.238.081.148;133.331.842.600.242;823.243.902.439.024;439.538.827.069.736;1.166.934.991;4.4;20614.0;0.59304348511167;
Finland;Europe;Northern Europe;338470.0;5541017.0;182.301.659.134.121;0.207288594407348;296.387.625.263.561;304.648.227.197.102;4.159;230.731.781.287.661;395.516.253.381.964;1.46;238.692.742.731.603;53280.0;295.251.261.204.808;39.461.838.671.317;240.604.324.125.877;216.242.780.728.525;819.341.463.414.634;566.855.650.098.748;1.291.548.109;2.2;14928.0;0.299633189629648;
Fiji;Oceania;Melanesia;18270.0;924610.0;50.608.100.711.549;0.45397664568484;429.623.542.752.339;-511.160.739.321.285;26.843;145.217.290.286.863;273.065.982.821.364;2.475;409.894.560.465.739;4500.0;416.063.058.897.068;545.768.979.353.172;1.688.960.445.746;-344.657.794.910.522;67.114;682.225.182.824.676;1.072.344.015;27.7;-6003.0;131.150.162.606.102;
Faroe Islands;Europe;Northern Europe;12960.0;52889.0;386.051.094.890.511;0.900256782879419;364.987.868.022.811;563.492.414.525.189;9.86;14.159.025.937.805;52.687.909.636.034;2.293;5.384.029.027.447.040;69560.0;367.879.310.084.193;522.089.841.026.356;195.309.231.627.388;221.056.841.609.102;834.975.609.756.098;5.646.352.946.088.640;1.119.592.346;2.748.951.120.460.860;0.0;133.648.206.755.022;
Ethiopia;Africa;Sub-Saharan Africa;1.136.239.544;120283026.0;106.579.911.903.038;260.431.928.274.974;111.261.882.913.342;564.153.071.739.351;69.221;375.791.156.879.114;763.170.164.458.893;4.159;425.944.579.528.263;940.0;113.576.188.834.062;166.672.656.036.917;218.500.273.668.148;21.763.264.067.496;64.975;179.055.031.951.208;5.362.352.623;46.8;-1391.0;478.818.035.456.334;
Eswatini;Africa;Sub-Saharan Africa;17360.0;1192271.0;693.180.813.953.488;0.9790522575795;474.870.240.066.283;788.330.640.157.318;69.934;812.937.467.839.981;45.002.471.474.998;2.839;11.286.528.826.855;3640.0;43.425.186.280.632;458.628.608.479.749;323.048.885.098.508;-0.786985372231584;57.066;882.556.885.311.451;1.200.524.881;52.6;-4897.0;1.795.086.062.599;
Georgia;Asia;Western Asia;69700.0;3708610.0;648.834.808.775.675;-0.379636607027231;18.629.365.612.096;104.655.371.977.056;31.654;646.632.846.440.138;431.869.061.613.332;2.081;1267373915.68;4700.0;174.218.834.484.638;596.342.898.918.448;213.680.838.149.971;102.540.892.898.094;71.694;769.859.816.948.774;1.477.548.843;9.5;-2734.0;0.322666414327491;
Estonia;Europe;Northern Europe;45340.0;1330932.0;311.329.122.807.018;0.105996956310127;37191166151.98;801.346.292.400.842;8.764;202.065.434.240.508;782.966.516.714.484;1.61;736.122.424.753.812;26460.0;352.189.233.213.114;786.613.974.730.984;231.064.624.029.966;599.690.607.967.077;767.414.634.146.342;121.515.415.287.923;1.490.807.939;2.0;2995.0;0.37423841895352;
Equatorial Guinea;Africa;Sub-Saharan Africa;28050.0;1634466.0;582.697.326.203.209;237.849.451.867.221;122.693.933.921.579;-0.945382916517076;139.706;263.047.390.742.318;554.732.496.981.446;4.266;4.598.483.212.854;5150.0;841.801.019.025.757;465.940.499.033.254;513.209.543.847.478;181.621.953.104.459;60.594;659.364.301.186.302;4.996.671.696;76.8;6486.0;300.718.046.472.277;
El Salvador;Americas;Latin America and the Caribbean;21040.0;6314167.0;30.473.778.957.529;0.340068122361035;29451240000.0;111.780.203.076.212;55.89;485.718.088.610.191;282.836.987.508.845;1.803;827.195.488.778.979;4360.0;275.422.319.069.279;524.890.632.788.297;242.215.947.443.979;625.783.824.060.771;70.748;713.450.435.363.672;1.753.370.318;12.4;-27343.0;12.535.901.422.302;
Egypt; Arab Rep.;Africa;Northern Africa;1001450.0;109262178.0;109.761.593.249.284;165.838.367.949.689;424.671.765.455.704;329.064.601.202.214;44.767;114.369.326.589.725;105.611.502.153.652;2.917;5122300000.0;3520.0;384.943.833.464.244;19.295.823.265.447;311.876.357.851.451;484.715.643.244.111;70.221;268.908.859.239.693;9.468.027.811;19.0;-32370.0;184.286.736.299.705
Ecuador;Americas;Latin America and the Caribbean;256370.0;17797737.0;716.610.444.516.025;118.206.337.539.033;106165866000.0;423.525.124.172.572;63.163;941.428.763.930.584;261.883.645.351.699;2.026;647.301.150.926.887;5960.0;106.041.081.968.789;251.976.440.337.236;311.735.412.208.666;257.933.093.464.713;73.67;493.463.690.109.211;9.433.558.884;12.5;35894.0;148.550.489.674.713;
